Date,Bitcoin,Ethereum,Total
2019-06-08,406774.0,186060.0,76245.0
2019-06-09,360679.0,239573.0,71759.0
2019-06-10,516531.0,218713.0,76931.0
2019-06-11,552922.0,284607.0,81207.0
2019-06-12,513688.0,381154.0,83756.0
2019-06-13,588028.0,250176.0,85543.0
2019-06-14,704739.0,241427.0,93318.0
2019-06-15,563558.0,231088.0,80947.0
2019-06-16,451326.0,343937.0,79141.0
2019-06-17,488146.0,220318.0,81101.0
2019-06-18,633466.0,231830.0,88812.0
2019-06-19,605544.0,225443.0,80067.0
2019-06-20,525663.0,208300.0,80244.0
2019-06-21,538611.0,266410.0,76477.0
2019-06-22,527926.0,251817.0,79115.0
2019-06-23,594639.0,232520.0,96957.0
2019-06-24,655129.0,241838.0,88597.0
2019-06-25,570472.0,243216.0,98805.0
2019-06-26,646639.0,278602.0,97549.0
2019-06-27,524815.0,241205.0,66625.0
2019-06-28,654160.0,220450.0,70722.0
2019-06-29,567236.0,212967.0,71428.0
2019-06-30,434197.0,187826.0,78682.0
2019-07-01,527686.0,213652.0,81682.0
2019-07-02,585004.0,278372.0,80267.0
2019-07-03,595318.0,251385.0,80572.0
2019-07-04,545797.0,243658.0,68310.0
2019-07-05,519514.0,225375.0,62100.0
2019-07-06,413415.0,204224.0,56972.0
2019-07-07,384728.0,179524.0,71267.0
2019-07-08,537620.0,225151.0,74575.0
2019-07-09,521742.0,243057.0,73845.0
2019-07-10,489841.0,226126.0,71014.0
2019-07-11,490770.0,205025.0,71200.0
2019-07-12,597279.0,226025.0,65054.0
2019-07-13,426311.0,176324.0,64987.0
2019-07-14,376287.0,183387.0,64162.0
2019-07-15,482408.0,225165.0,69230.0
2019-07-16,506659.0,167302.0,69324.0
2019-07-17,473803.0,213056.0,65385.0
2019-07-18,461495.0,199894.0,72802.0
2019-07-19,479541.0,207595.0,69301.0
2019-07-20,488207.0,174644.0,66534.0
2019-07-21,346576.0,159106.0,56542.0
2019-07-22,453668.0,186067.0,61627.0
2019-07-23,462986.0,176153.0,61762.0
2019-07-24,490265.0,164789.0,57459.0
2019-07-25,516307.0,171620.0,53735.0
2019-07-26,480190.0,194966.0,55161.0
2019-07-27,370872.0,181224.0,50547.0
2019-07-28,344218.0,176165.0,51170.0
2019-07-29,483669.0,194050.0,55067.0
2019-07-30,492327.0,232483.0,52599.0
2019-07-31,523244.0,191486.0,51792.0
2019-08-01,508150.0,177352.0,56185.0
2019-08-02,512144.0,203211.0,55302.0
2019-08-03,405904.0,162959.0,54579.0
2019-08-04,382072.0,174438.0,54989.0
2019-08-05,516853.0,230172.0,57644.0
2019-08-06,572658.0,239352.0,56890.0
2019-08-07,538597.0,208773.0,56979.0
2019-08-08,563596.0,212800.0,57375.0
2019-08-09,498735.0,220549.0,56331.0
2019-08-10,400508.0,206622.0,38044.0
2019-08-11,347415.0,182572.0,40450.0
2019-08-12,417321.0,243799.0,43733.0
2019-08-13,604452.0,211816.0,43649.0
2019-08-14,516421.0,219643.0,46140.0
2019-08-15,474586.0,195569.0,36104.0
2019-08-16,449390.0,220838.0,50772.0
2019-08-17,365383.0,177932.0,48625.0
2019-08-18,337600.0,180757.0,48686.0
2019-08-19,453404.0,210116.0,56072.0
2019-08-20,494428.0,218926.0,57455.0
2019-08-21,485350.0,221529.0,54546.0
2019-08-22,525646.0,212084.0,55357.0
2019-08-23,513347.0,226063.0,56311.0
2019-08-24,487693.0,204297.0,53189.0
2019-08-25,323309.0,198707.0,51018.0
2019-08-26,491672.0,222546.0,57832.0
2019-08-27,487287.0,226670.0,53273.0
2019-08-28,471688.0,211481.0,52472.0
2019-08-29,487836.0,212899.0,45413.0
2019-08-30,484737.0,204526.0,44099.0
2019-08-31,392436.0,193227.0,44213.0
2019-09-01,366917.0,191010.0,43888.0
2019-09-02,472240.0,233003.0,50399.0
2019-09-03,524740.0,222358.0,46222.0
2019-09-04,499931.0,221142.0,50305.0
2019-09-05,483141.0,245362.0,52665.0
2019-09-06,525824.0,230686.0,48606.0
2019-09-07,399653.0,208828.0,49542.0
2019-09-08,361526.0,204768.0,47948.0
2019-09-09,516638.0,233247.0,49356.0
2019-09-10,548311.0,211088.0,49054.0
2019-09-11,539880.0,216878.0,51127.0
2019-09-12,484195.0,221285.0,52145.0
2019-09-13,506729.0,191851.0,54153.0
2019-09-14,430067.0,195745.0,51759.0
2019-09-15,361389.0,202249.0,50127.0
2019-09-16,522587.0,231570.0,48901.0
2019-09-17,523060.0,220646.0,49853.0
2019-09-18,612235.0,220983.0,50002.0
2019-09-19,481141.0,218795.0,64408.0
2019-09-20,481000.0,226693.0,53663.0
2019-09-21,426298.0,174990.0,51791.0
2019-09-22,369026.0,163166.0,52198.0
2019-09-23,454857.0,169665.0,56609.0
2019-09-24,568131.0,195514.0,55639.0
2019-09-25,542976.0,181911.0,57482.0
2019-09-26,505759.0,184109.0,55003.0
2019-09-27,458784.0,184497.0,53219.0
2019-09-28,409880.0,176512.0,51608.0
2019-09-29,359548.0,158390.0,57285.0
2019-09-30,480276.0,190590.0,57416.0
2019-10-01,509749.0,197271.0,52341.0
2019-10-02,461330.0,192456.0,54221.0
2019-10-03,466972.0,168087.0,53858.0
2019-10-04,463192.0,165223.0,53094.0
2019-10-05,404162.0,172821.0,52116.0
2019-10-06,353976.0,166909.0,50859.0
2019-10-07,490215.0,178440.0,56382.0
2019-10-08,471798.0,188483.0,59723.0
2019-10-09,448751.0,221346.0,58135.0
2019-10-10,486084.0,208865.0,56012.0
2019-10-11,478368.0,211454.0,62191.0
2019-10-12,373626.0,182330.0,55790.0
2019-10-13,330586.0,164124.0,53582.0
2019-10-14,447386.0,188104.0,59960.0
2019-10-15,460645.0,193294.0,57483.0
2019-10-16,490659.0,190043.0,58414.0
2019-10-17,485106.0,189423.0,61140.0
2019-10-18,434551.0,209318.0,67608.0
2019-10-19,398297.0,190047.0,62122.0
2019-10-20,356435.0,170671.0,55472.0
2019-10-21,475635.0,189071.0,56318.0
2019-10-22,480054.0,191189.0,55353.0
2019-10-23,498839.0,188650.0,57159.0
2019-10-24,470716.0,188484.0,81582.0
2019-10-25,536378.0,199702.0,61895.0
2019-10-26,518821.0,200450.0,61566.0
2019-10-27,380575.0,170561.0,60345.0
2019-10-28,503333.0,198499.0,72631.0
2019-10-29,491080.0,192990.0,66002.0
2019-10-30,477351.0,191944.0,63294.0
2019-10-31,469744.0,192692.0,66744.0
2019-11-01,540009.0,195900.0,63530.0
2019-11-02,418283.0,165563.0,62602.0
2019-11-03,410728.0,159695.0,64256.0
2019-11-04,489809.0,186195.0,67874.0
2019-11-05,539056.0,215784.0,82661.0
2019-11-06,572679.0,193554.0,67930.0
2019-11-07,539742.0,266684.0,67970.0
2019-11-08,486035.0,196218.0,68391.0
2019-11-09,491608.0,166065.0,67372.0
2019-11-10,372675.0,179604.0,71464.0
2019-11-11,463543.0,198672.0,70197.0
2019-11-12,443307.0,212505.0,66918.0
2019-11-13,510146.0,207620.0,71733.0
2019-11-14,503180.0,189920.0,65560.0
2019-11-15,491493.0,185805.0,55448.0
2019-11-16,439900.0,166348.0,53579.0
2019-11-17,393527.0,177355.0,55514.0
2019-11-18,447621.0,193952.0,55472.0
2019-11-19,579370.0,192907.0,53453.0
2019-11-20,453317.0,187666.0,53056.0
2019-11-21,521920.0,207854.0,50924.0
2019-11-22,522968.0,225633.0,75346.0
2019-11-23,450215.0,170330.0,53820.0
2019-11-24,342883.0,150373.0,54930.0
2019-11-25,428683.0,196045.0,55017.0
2019-11-26,512248.0,177562.0,56497.0
2019-11-27,573125.0,172381.0,57201.0
2019-11-28,458042.0,167672.0,53534.0
2019-11-29,476814.0,191880.0,50434.0
2019-11-30,435954.0,154840.0,47333.0
2019-12-01,379115.0,164654.0,55626.0
2019-12-02,483165.0,204755.0,40882.0
2019-12-03,496625.0,177637.0,51155.0
2019-12-04,493959.0,181878.0,52421.0
2019-12-05,491327.0,177549.0,35968.0
2019-12-06,505068.0,169139.0,34638.0
2019-12-07,439506.0,138526.0,41116.0
2019-12-08,382333.0,124323.0,34510.0
2019-12-09,537036.0,192597.0,38305.0
2019-12-10,554672.0,177408.0,40670.0
2019-12-11,554992.0,177642.0,39710.0
2019-12-12,479422.0,172675.0,41775.0
2019-12-13,489530.0,173610.0,37077.0
2019-12-14,411481.0,148037.0,49515.0
2019-12-15,445713.0,149951.0,45058.0
2019-12-16,546897.0,179892.0,39987.0
2019-12-17,651220.0,168786.0,39989.0
2019-12-18,492693.0,178756.0,38838.0
2019-12-19,495783.0,176289.0,40514.0
2019-12-20,469924.0,170291.0,37650.0
2019-12-21,396152.0,156705.0,34188.0
2019-12-22,379349.0,143930.0,36349.0
2019-12-23,476406.0,175253.0,46819.0
2019-12-24,438407.0,158998.0,41935.0
2019-12-25,357737.0,150666.0,39351.0
2019-12-26,425868.0,164749.0,39176.0
2019-12-27,469662.0,159419.0,40916.0
2019-12-28,397811.0,144275.0,40907.0
2019-12-29,374899.0,135362.0,40792.0
2019-12-30,489527.0,174739.0,37454.0
2019-12-31,454224.0,151478.0,38810.0
2020-01-01,332979.0,121155.0,38521.0
2020-01-02,452156.0,133832.0,38609.0
2020-01-03,490693.0,159986.0,46584.0
2020-01-04,403570.0,152719.0,39083.0
2020-01-05,376246.0,143093.0,36556.0
2020-01-06,485227.0,171385.0,41388.0
2020-01-07,514658.0,173252.0,40876.0
2020-01-08,488079.0,185410.0,37951.0
2020-01-09,530899.0,179834.0,36442.0
2020-01-10,515406.0,166164.0,39396.0
2020-01-11,416529.0,151666.0,39370.0
2020-01-12,374479.0,137985.0,33723.0
2020-01-13,448442.0,157615.0,36583.0
2020-01-14,579051.0,192492.0,39935.0
2020-01-15,518489.0,198952.0,41846.0
2020-01-16,490036.0,212760.0,36150.0
2020-01-17,509534.0,185319.0,39719.0
2020-01-18,402499.0,181728.0,38403.0
2020-01-19,414513.0,174336.0,39300.0
2020-01-20,485057.0,171314.0,42825.0
2020-01-21,512451.0,168207.0,38864.0
2020-01-22,542893.0,151034.0,37263.0
2020-01-23,532785.0,172132.0,38661.0
2020-01-24,502589.0,133770.0,38621.0
2020-01-25,437285.0,113078.0,39813.0
2020-01-26,375754.0,114521.0,37645.0
2020-01-27,470866.0,134215.0,37604.0
2020-01-28,566005.0,146899.0,40257.0
2020-01-29,516671.0,151911.0,42407.0
2020-01-30,516644.0,150117.0,42273.0
2020-01-31,528557.0,159234.0,41562.0
2020-02-01,482021.0,150107.0,41730.0
2020-02-02,494141.0,142803.0,41725.0
2020-02-03,605647.0,188156.0,40503.0
2020-02-04,523244.0,155014.0,41545.0
2020-02-05,573102.0,182241.0,43269.0
2020-02-06,500610.0,178856.0,48719.0
2020-02-07,598984.0,185447.0,43826.0
2020-02-08,480011.0,198794.0,44991.0
2020-02-09,444837.0,204121.0,40589.0
2020-02-10,457072.0,193049.0,40038.0
2020-02-11,600968.0,209824.0,40420.0
2020-02-12,539710.0,252504.0,45853.0
2020-02-13,569431.0,234995.0,47074.0
2020-02-14,478768.0,216220.0,44375.0
2020-02-15,495836.0,206313.0,46106.0
2020-02-16,422003.0,193788.0,41158.0
2020-02-17,523888.0,204830.0,42017.0
2020-02-18,532200.0,215011.0,41965.0
2020-02-19,538339.0,201784.0,41948.0
2020-02-20,516479.0,194052.0,46832.0
2020-02-21,526305.0,207037.0,45489.0
2020-02-22,431169.0,201272.0,45313.0
2020-02-23,397583.0,211717.0,41119.0
2020-02-24,514729.0,212550.0,41900.0
2020-02-25,487111.0,182414.0,42270.0
2020-02-26,521072.0,193144.0,43013.0
2020-02-27,531061.0,206735.0,42348.0
2020-02-28,546429.0,201003.0,42451.0
2020-02-29,436972.0,182514.0,40638.0
2020-03-01,432909.0,164975.0,41538.0
2020-03-02,552050.0,207356.0,42166.0
2020-03-03,582027.0,179285.0,63938.0
2020-03-04,608185.0,193395.0,49244.0
2020-03-05,528755.0,213195.0,41331.0
2020-03-06,542312.0,192436.0,41447.0
2020-03-07,441844.0,177164.0,46754.0
2020-03-08,417609.0,170529.0,49289.0
2020-03-09,547683.0,206230.0,53203.0
2020-03-10,548741.0,194926.0,51001.0
2020-03-11,466031.0,190789.0,51574.0
2020-03-12,602148.0,181007.0,53966.0
2020-03-13,487219.0,217376.0,53909.0
2020-03-14,510553.0,191149.0,51191.0
2020-03-15,435247.0,178466.0,49958.0
2020-03-16,460793.0,210857.0,53752.0
2020-03-17,496064.0,214092.0,51281.0
