"Date","BTC Market Cap","ETH Market Cap","Top 10 (Without BTC & ETH)","Others"
"2019-07-19","189588944050.24216","24469199432.985012","42647386078.455258","25896442193.35657"
"2019-07-20","187718958960.57816","23638366539.887043","42048990482.802437","25553858556.71236"
"2019-07-21","190839615019.19455","24370718738.349724","44053823582.347756","26524618505.61797"
"2019-07-22","189302289398.0001","24197616725.96213","44039654139.11997","26336708385.1348"
"2019-07-23","184582963699.30176","23300408113.461063","42282686009.555537","26313449582.96964"
"2019-07-24","177060329754.31393","22833250656.49764","41538176021.21840","25270087072.25303"
"2019-07-25","175298806837.89883","23289112074.867935","42341046994.243705","25513352881.36953"
"2019-07-26","176569486287.9306","23512755315.51417","42142738300.24539","25594117505.98784"
"2019-07-27","175634298896.93475","23510568057.420704","43106169212.069476","25722573991.81807"
"2019-07-28","168472890623.8368","22113111388.41074","40983216823.18536","24642591777.2031"
"2019-07-29","170325673262.38525","22676505895.192112","41274790812.158718","24808244762.70392"
"2019-07-30","169247002246.27844","22532332968.39789","40895539428.87994","24846960054.27173"
"2019-07-31","170790961770.58182","22459680355.763912","41427619461.914918","24923712049.03035"
"2019-08-01","179525433372.0441","23395542240.652126","42852393672.516814","25403123920.54296"
"2019-08-02","185025579624.96027","23212512549.342392","42465111944.161508","25342675136.08083"
"2019-08-03","187993708173.329","23340842011.61525","41883026062.76225","25579610175.0155"
"2019-08-04","192658484290.18","23728815859.720734","42176508112.150806","25506128015.11046"
"2019-08-05","195575205441.64883","23801827044.905396","42108651692.750874","25547033426.6229"
"2019-08-06","210831100251.74985","24942936105.273483","42991714941.746867","26165717199.3678"
"2019-08-07","204493918413.86813","24246876267.774906","41715331706.952544","25381134411.54642"
"2019-08-08","213446022648.57455","24246033283.292213","41954792893.075987","25270247750.75425"
"2019-08-09","214023992147.5213","23748361769.302696","41912355163.131304","25309934705.6167"
"2019-08-10","211775940827.03262","22496236375.06767","39902366569.16585","24054292423.40686"
"2019-08-11","202567916483.04468","22164896130.494186","40335658260.399584","24029990280.77455"
"2019-08-12","206323428608.19785","23199201016.471577","41607616405.743503","24549467421.88907"
"2019-08-13","203438784510.78018","22642683362.924953","40854277563.323007","24178019907.44986"
"2019-08-14","194716791550.1683","22436740682.994324","40883301380.004616","23727286831.88776"
"2019-08-15","178691691521.25024","19905411203.78774","36802180726.76958","22004204658.41744"
